[ 2026-06-27 04:09:15,020 ] 20 root - INFO - Initiate the data ingestion
[ 2026-06-27 04:09:22,640 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-06-27 04:09:22,640 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-27 04:09:22,640 ] 75 root - INFO - Exporting train and test file path.
[ 2026-06-27 04:09:22,750 ] 84 root - INFO - Exported train and test file path.
[ 2026-06-27 04:09:22,750 ] 22 root - INFO - Data Initiation Completed
[ 2026-06-27 04:09:22,753 ] 26 root - INFO - Initiate the data Validation
[ 2026-06-27 04:09:22,851 ] 33 root - INFO - Required number of columns:31
[ 2026-06-27 04:09:22,852 ] 34 root - INFO - Data frame has columns:31
[ 2026-06-27 04:09:22,853 ] 33 root - INFO - Required number of columns:31
[ 2026-06-27 04:09:22,853 ] 34 root - INFO - Data frame has columns:31
[ 2026-06-27 04:09:23,063 ] 28 root - INFO - data Validation Completed
[ 2026-06-27 04:09:23,063 ] 31 root - INFO - data Transformation started
[ 2026-06-27 04:09:23,063 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-06-27 04:09:23,063 ] 65 root - INFO - Starting data transformation
[ 2026-06-27 04:09:23,155 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-06-27 04:09:23,155 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-27 04:09:23,171 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-27 04:09:23,174 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-27 04:09:23,174 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-27 04:09:23,178 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-27 04:09:23,179 ] 35 root - INFO - data Transformation completed
[ 2026-06-27 04:09:23,179 ] 37 root - INFO - Model Training sstared
